Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
MAOB	-1.05168182	-1.259e-05	-0.25394375	-1.58881386	-0.0743178	-0.71626469	-1.18391596	-0.05604523	-0.41775884
MAP3K15	-5.69280126	-2.11999874	-3.50073498	-6.23059295	-2.30749423	-3.77199941	-5.85157526	-2.23629121	-3.6088841
MAP7D2	-5.33182837	-1.46841166	-2.14293092	-5.76996723	-1.81635173	-2.52069592	-5.46275174	-1.63341465	-2.25973842
MAP7D3	-5.86520365	-1.96170639	-3.33170649	-6.43393676	-2.08881901	-3.72876867	-6.02276455	-2.05712087	-3.45476344
MBNL3	-1.18497973	-3.326e-05	-0.35091547	-1.73758778	-0.08726509	-0.77386551	-1.31667592	-0.05937621	-0.52144377
MBTPS2	-1.09191891	-1.085e-05	-0.27563812	-1.62687159	-0.07700003	-0.6866071	-1.22407808	-0.05756016	-0.47905788
MCF2	-1.04066224	-0.02634348	-0.50625052	-1.6119354	-0.21616941	-0.87705861	-1.1667453	-0.17438528	-0.6457707
MCTS1	-3.11439259	-2.123e-05	-0.54347664	-3.69380388	-0.01404544	-0.94618584	-3.26383289	-0.00879611	-0.69160555
MECP2	-1.55333537	-0.10645141	-0.82989339	-2.13991908	-0.35138312	-1.19593272	-1.66812713	-0.26304562	-0.95221444
MED12	-0.59243883	-3.85e-06	-0.05178773	-1.00569714	-0.02849541	-0.36740931	-0.68876543	-0.02758572	-0.26976761
MED14	-0.71474585	-2.105e-05	-0.09484189	-1.18934466	-0.04087388	-0.47071739	-0.82412078	-0.0340673	-0.29603725
MID1	-0.99434501	-5.86e-06	-0.26137928	-1.5124821	-0.07252232	-0.65333084	-1.12276937	-0.05923554	-0.38423897
MID1IP1	-5.37574206	-0.00012524	-0.7106332	-5.96688488	-0.18167991	-1.20870402	-5.59335883	-0.07541806	-0.87370945
MID2	-1.19692482	-0.0580299	-0.6339118	-1.773899	-0.26094602	-0.99865873	-1.3123788	-0.21435444	-0.81299288
MMGT1	-2.69185994	-2.611e-05	-0.57222074	-3.49154392	-0.00872918	-0.95339225	-2.82870001	-0.00462521	-0.70698036
MORC4	-0.86517904	-5.01e-06	-0.25602253	-1.38420408	-0.06012541	-0.59769413	-0.98830736	-0.05168807	-0.32046987
MORF4L2	-4.7166491	-7.768e-05	-0.60015038	-5.02602544	-0.0098044	-1.05548702	-4.95303466	-0.00602098	-0.71676877
MOSPD1	-1.62010575	-0.00010843	-0.47185932	-2.20544378	-0.03634631	-0.89374767	-1.72544472	-0.00894547	-0.57521327
MOSPD2	-1.13059149	-0.00010354	-0.37329551	-1.67219117	-0.08554639	-0.76027342	-1.26725595	-0.06123656	-0.48524954
MPP1	-1.1080363	-4.697e-05	-0.30020069	-1.66080241	-0.08273232	-0.71348788	-1.24310112	-0.06063374	-0.39792128
