Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
ZCCHC13	-5.84428055	-1.67225168	-2.95123697	-6.32843257	-1.87238136	-3.04435906	-5.98427984	-1.77893311	-2.77969691
ZCCHC16	-5.8881609	-2.09397477	-3.38563259	-6.38399901	-2.2761503	-3.89150567	-6.03327346	-2.19980269	-3.55293128
ZCCHC18	-4.96652931	-6.61e-06	-0.60611922	-5.45860553	-0.00281735	-1.02727538	-5.13783451	-0.00145679	-0.75055528
ZCCHC5	-5.87498134	-1.83524012	-4.84512766	-6.48130707	-1.94385829	-5.13053616	-6.03435397	-1.92367295	-4.95828642
ZDHHC15	-4.28109679	-0.56482807	-1.42910425	-5.2225694	-0.9342086	-1.77238044	-4.42557717	-0.73776706	-1.53526731
ZDHHC9	-1.13066245	-2.87e-06	-0.34269763	-1.68867121	-0.08713133	-0.68289015	-1.264279	-0.05989614	-0.45455267
ZFP92	-3.52736475	-6.066e-05	-0.55093939	-3.82267609	-0.01200079	-0.96665849	-3.52988331	-0.00650269	-0.67410156
ZFX	-1.06729104	-1.111e-05	-0.2773156	-1.60298136	-0.07212671	-0.66539563	-1.1997578	-0.0550707	-0.42734809
ZIC3	-2.59755903	-3.812e-05	-0.53513942	-3.09115464	-0.00359429	-0.91565347	-2.69121068	-0.00326408	-0.69328538
ZMAT1	-2.05438922	-0.50896769	-1.25949824	-2.71653923	-0.85563519	-1.58918082	-2.15181275	-0.69287015	-1.37631171
ZMYM3	-0.7773278	-1.11e-05	-0.13079591	-1.27092867	-0.04681788	-0.53886242	-0.89100145	-0.0402472	-0.30681511
ZNF157	-5.62485485	-1.23570506	-1.91286965	-6.08871712	-1.54064767	-2.29436699	-5.76745751	-1.38230343	-2.03165568
ZNF182	-1.07913856	-3.98e-05	-0.2850567	-1.62177177	-0.07651672	-0.65169499	-1.21006603	-0.05586859	-0.4337995
ZNF185	-5.76723926	-1.87206169	-2.90829714	-6.23990745	-2.11916448	-3.29098563	-5.90774609	-1.99903784	-3.06061292
ZNF275	-4.44374601	-0.65281247	-1.47231624	-5.51858525	-1.00718571	-1.81692409	-5.48196282	-0.82146855	-1.57928052
ZNF280C	-0.99644546	-9.71e-06	-0.25007455	-1.52268183	-0.07085256	-0.66000067	-1.12331121	-0.05484403	-0.42019296
ZNF41	-1.77973655	-0.32930335	-1.0527204	-2.3660817	-0.60224212	-1.40716261	-1.87960215	-0.48601174	-1.14666928
ZNF449	-1.07991557	-1.314e-05	-0.38332322	-1.6052361	-0.08199026	-0.70143031	-1.21172604	-0.05945538	-0.47889456
ZNF630	-5.70283315	-1.33143679	-2.02270306	-6.17788831	-1.60792043	-2.43216951	-5.8478754	-1.46661596	-2.11352522
ZNF674	-5.93486702	-2.69426809	-4.23783206	-6.57948879	-2.77378804	-5.19789796	-6.09775011	-2.77337177	-5.12732421
ZNF711	-0.96774205	-1e-07	-0.22786957	-1.50740708	-0.06847696	-0.62673408	-1.09673407	-0.05398425	-0.34800652
ZNF75D	-5.79732072	-1.89384198	-2.93933236	-6.3210567	-2.04333323	-3.60729575	-5.95169622	-1.99853546	-3.00642639
ZNF81	-1.16283377	-1.177e-05	-0.40073812	-1.71641139	-0.08514274	-0.76541063	-1.29796927	-0.06137611	-0.50839801
ZRSR2	-0.94125098	-6.89e-06	-0.26644279	-1.45952566	-0.06512952	-0.59575677	-1.06735368	-0.05468302	-0.43470376
ZXDA	-5.04325202	-0.08062952	-1.11395913	-5.58001395	-0.3973352	-1.489169	-5.2441245	-0.22622125	-1.25189985
ZXDB	-1.94055875	-1.78e-06	-0.46803964	-2.53675129	-0.00524196	-0.87380621	-2.03304593	-0.00298585	-0.58136539
