Gene	log10_ci_low	log10_ci_high	log10_map
MAN1C1	-1.72095449	-0.84255669	-1.29455636
MAN2A1	-1.88677477	-1.23520344	-1.5313012
MAN2A2	-5.8940347	-2.03557323	-2.89355511
MAN2B1	-6.04294187	-2.04104022	-3.00701648
MAN2B2	-5.94967246	-1.86914459	-2.66784753
MAN2C1	-5.95672727	-2.15793257	-2.91749498
MANBA	-6.01074418	-2.06819943	-3.2716096
MANBAL	-6.04576134	-0.20506215	-1.14450725
MANEA	-5.93106468	-1.47956966	-2.05663763
MANEAL	-4.99762886	-0.52151937	-1.44756437
MANF	-6.06968074	-0.91904177	-1.70603381
MANSC1	-6.08985433	-0.92503485	-1.71392289
MANSC4	-6.22109986	-2.40394542	-4.53335429
MAP10	-6.045806	-1.91499253	-2.60128462
MAP1A	-1.35360123	-0.67780399	-1.02733808
MAP1B	-1.06596761	-0.28284992	-0.68950744
MAP1LC3A	-5.33802618	-0.00259203	-0.93387829
MAP1LC3B	-2.677197	-0.164033	-1.19795409
MAP1LC3B2	-6.17557599	-2.13878645	-3.31643817
MAP1LC3C	-6.25340895	-2.39591763	-4.46255657
MAP1S	-1.80130587	-0.76959969	-1.30804839
MAP2	-0.88834013	-0.05143392	-0.42707732
MAP2K1	-2.12663699	-0.77574108	-1.39615253
MAP2K2	-1.32285307	-0.09510045	-0.62585811
MAP2K3	-5.29148931	-0.95448259	-1.65215843
MAP2K4	-1.20927131	-0.0839592	-0.57122132
MAP2K5	-2.65148762	-1.24509072	-1.69380441
MAP2K6	-1.3662745	-0.28348898	-0.84873483
MAP2K7	-1.29406135	-0.09006502	-0.64283753
MAP3K1	-1.08436717	-0.19829866	-0.65800556
MAP3K10	-2.46302815	-1.0095999	-1.57017565
MAP3K11	-1.86080914	-1.08691502	-1.46593113
MAP3K12	-0.95008774	-0.06251394	-0.4270583
MAP3K13	-1.85063986	-1.21175661	-1.51819675
MAP3K19	-5.93209307	-1.95507163	-2.86475136
MAP3K2	-1.14804834	-0.24615742	-0.4100376
MAP3K3	-1.49511367	-0.61973235	-1.08160912
MAP3K4	-1.43864872	-0.83388101	-1.15397402
MAP3K5	-1.68054238	-1.04197222	-1.35865514
MAP3K6	-5.99255512	-2.30788019	-3.31484766
MAP3K7	-1.6363416	-0.70193272	-1.23488717
MAP3K7CL	-6.20875993	-2.14710618	-3.89308821
MAP3K8	-1.2737399	-0.08845893	-0.6128142
MAP3K9	-1.8373627	-1.11487493	-1.47483325
MAP4	-1.57813697	-0.66937957	-1.14496398
MAP4K1	-1.14321343	-0.20929817	-0.64256374
MAP4K2	-5.98321965	-1.97152504	-2.70392323
MAP4K3	-1.91956665	-1.24397462	-1.53645262
MAP4K4	-1.31715831	-0.59908929	-0.99662441
MAP4K5	-1.60819681	-0.79351753	-1.21859563
MAP6	-1.53096337	-0.08800651	-0.74006824
MAP6D1	-5.30295136	-0.00484276	-0.89421
MAP7	-1.61513948	-0.86466597	-1.26327575
MAP7D1	-1.25060675	-0.24479971	-0.74236896
MAP9	-6.1315233	-2.46938706	-3.27674846
MAPK1	-1.35196789	-0.09298341	-0.68699518
MAPK10	-1.72867631	-0.54707901	-1.19520845
MAPK11	-2.18342643	-0.53102365	-1.34874497
MAPK12	-6.23125809	-2.3812643	-3.7127542
MAPK13	-6.07030451	-2.22748028	-3.74278021
MAPK14	-2.01382411	-0.78657801	-1.39676661
MAPK15	-6.05103128	-2.05360547	-3.27692594
MAPK1IP1L	-4.28236651	-0.00823447	-0.84299322
MAPK3	-2.83354754	-0.83569558	-1.53524018
MAPK4	-3.33273357	-0.82165125	-1.55255794
MAPK6	-5.0908363	-1.15920001	-1.76282562
MAPK7	-2.43934724	-1.01583906	-1.54528421
MAPK8	-1.23516306	-0.08953699	-0.58409688
MAPK8IP1	-1.09058783	-0.0793881	-0.53368713
MAPK8IP2	-1.18209162	-0.08016377	-0.5641139
MAPK8IP3	-1.341858	-0.53120533	-0.94543105
MAPK9	-1.61808791	-0.52756278	-1.1198119
MAPKAP1	-1.04254558	-0.07120942	-0.46850051
MAPKAPK2	-1.19838684	-0.08132791	-0.54193908
MAPKAPK3	-6.06173993	-1.87900335	-2.62191308
MAPKAPK5	-1.7188359	-0.56123308	-1.20434576
MAPKBP1	-1.57627924	-1.0332033	-1.31453444
MAPRE1	-1.38825212	-0.09554968	-0.72486176
MAPRE2	-1.52390281	-0.32807929	-0.97601875
MAPRE3	-1.50187386	-0.09474135	-0.6970202
MAPT	-5.84067017	-1.59044651	-2.19035847
MARC1	-6.13967054	-2.05189161	-2.94653123
MARC2	-5.96160254	-1.40964773	-1.99087263
MARCH1	-3.28795462	-0.66914757	-1.47306043
MARCH10	-6.06449813	-1.95354269	-2.7564056
MARCH11	-5.76199849	-1.14168489	-1.77297774
MARCH2	-6.0291919	-1.41721029	-2.02478469
MARCH3	-3.91032923	-0.16573629	-1.23284107
MARCH4	-6.10186795	-1.9526116	-2.96240317
MARCH5	-1.31138169	-0.09102855	-0.66057927
MARCH6	-1.06074337	-0.18656294	-0.65066977
MARCH7	-2.28000157	-1.24458363	-1.63412193
MARCH8	-6.15246874	-2.04463003	-3.13931153
MARCH9	-1.45618142	-0.09814798	-0.7043136
MARCKS	-5.85829502	-0.11165446	-1.07090821
MARCKSL1	-6.21437358	-0.78436338	-1.66664844
MARCO	-6.08861948	-2.13937615	-3.49250335
MARK1	-1.52458854	-0.8098179	-1.18021353
MARK2	-1.65621873	-0.89284442	-1.27660163
MARK3	-1.90850283	-1.14509839	-1.51031513
MARK4	-1.28604836	-0.25652158	-0.81723797
MARS	-2.53343173	-1.41489791	-1.80927458
MARS2	-5.80631995	-1.25407217	-1.97086257
MARVELD2	-6.06384352	-2.10969492	-3.26220976
MARVELD3	-6.07880834	-1.84677648	-2.67097053
MAS1	-6.19515901	-2.29790187	-3.52364019
MASP1	-5.48114791	-1.35723121	-2.0533568
MASP2	-6.16916446	-2.24697442	-3.62744953
MAST1	-1.47926202	-0.77678704	-1.13741025
MAST2	-2.15027673	-1.45191365	-1.74165491
MAST3	-1.33489047	-0.40953911	-0.9002466
MAST4	-1.71593585	-1.22820755	-1.46616161
MASTL	-6.14771943	-2.23390211	-3.50767813
MAT1A	-2.05270626	-0.52777382	-1.29212577
MAT2A	-1.33418293	-0.09449321	-0.65811321
MAT2B	-2.21270884	-0.50618874	-1.30706091
MATK	-6.13972097	-2.20658857	-3.5212373
MATN1	-5.4625243	-0.85441654	-1.61260349
MATN2	-5.97034469	-1.86983334	-2.50476681
MATN3	-6.18635398	-2.28376199	-3.60133136
MATN4	-6.10724443	-2.38277648	-3.3731486
MATR3	-1.05290156	-0.0709614	-0.46807392
MAU2	-1.03590204	-0.06761972	-0.44933382
MAVS	-6.18717458	-2.28507717	-3.89118534
MAX	-2.14751573	-0.26458633	-1.1536422
MAZ	-6.0907868	-1.75020807	-2.40999411
MB	-6.11178793	-1.19343747	-1.87718011
MB21D1	-6.19179397	-2.27727163	-3.70375011
MB21D2	-5.56085876	-0.97866551	-1.665724
MBD1	-1.55224406	-0.74796858	-1.17664625
MBD2	-1.77285936	-0.56875072	-1.22398141
MBD3	-1.72458869	-0.06102845	-0.7708655
MBD3L3	-6.05062765	-0.53202615	-1.6904587
MBD4	-6.11613364	-2.13770186	-3.4197036
MBD5	-1.18213156	-0.22713984	-0.69540806
MBD6	-1.09208853	-0.0754697	-0.49427213
MBIP	-4.03631543	-0.95738742	-1.63179342
MBL2	-6.21753748	-0.77024991	-1.68835123
MBLAC1	-6.10760532	-0.90574682	-2.02713229
MBLAC2	-6.09075674	-1.76136875	-2.80412946
MBNL1	-1.63485903	-0.53387125	-1.13249878
MBNL2	-2.46622975	-0.45916403	-1.34200623
MBOAT1	-5.98038842	-1.7777885	-2.5991723
MBOAT2	-1.83526332	-0.77177307	-1.31106833
MBOAT4	-6.20739367	-2.30361356	-3.62689153
MBOAT7	-1.35173826	-0.08907023	-0.68125953
MBP	-1.72506129	-0.05876084	-0.79179
MBTD1	-1.02226576	-0.06879063	-0.45329505
MBTPS1	-2.11153376	-1.39296622	-1.64822379
MC1R	-6.11691182	-2.04036119	-3.06785646
MC2R	-6.1565102	-1.60343565	-2.30856923
MC3R	-6.17369856	-1.82111462	-2.95986482
MC4R	-6.24660831	-2.49409132	-4.34324125
MC5R	-6.20537307	-2.20182139	-4.63072621
MCAM	-1.61953623	-0.69026475	-1.19119269
MCAT	-6.23275688	-2.3931349	-3.6805586
MCC	-3.30927194	-1.33915963	-1.88961489
MCCC1	-4.89521338	-1.33323765	-1.89837007
MCCC2	-5.61616383	-1.42161506	-2.11369085
MCCD1	-6.16857787	-1.79615825	-3.15434109
MCEE	-6.15634692	-2.03582067	-3.26902829
MCF2L	-2.03851312	-1.368738	-1.66567506
MCF2L2	-5.54441803	-1.6013925	-2.29291348
MCFD2	-5.53823887	-0.01878397	-0.9668933
MCHR1	-6.14461381	-1.79453503	-2.57695135
MCHR2	-6.11593456	-2.06631723	-3.59713003
MCIDAS	-1.73607463	-0.06625911	-0.7947269
MCL1	-1.94397138	-0.02699837	-0.78780977
MCM10	-2.38125819	-1.42716704	-1.7567051
MCM2	-2.24400871	-1.28246505	-1.64281054
MCM3	-5.39676433	-1.45098839	-2.12622736
MCM3AP	-1.93898293	-1.37162293	-1.61798663
MCM4	-5.35928141	-1.46957739	-2.03066979
MCM5	-2.05658919	-1.14661841	-1.53899113
MCM6	-1.46663088	-0.60172721	-1.04057154
MCM7	-6.06809351	-2.05380216	-3.19136701
MCM8	-6.07792863	-2.09051208	-3.04749205
MCM9	-1.90438178	-1.13956201	-1.49255575
MCMBP	-1.30960851	-0.25948698	-0.78812594
MCMDC2	-6.17398383	-2.23764098	-3.92685344
MCOLN1	-6.00532882	-1.82054918	-2.55593817
MCOLN2	-6.13368538	-2.13568863	-3.52764369
MCOLN3	-5.69669683	-1.45625951	-2.14946178
MCPH1	-5.98820468	-2.07411966	-3.21490826
MCRS1	-1.88505169	-0.90374551	-1.39170567
MCTP1	-1.91014255	-1.17839088	-1.51732005
MCTP2	-5.95693415	-2.04402066	-2.97309183
MCU	-1.52592641	-0.32070615	-0.94473828
MCUR1	-6.04985618	-1.69037632	-2.34305981
MDC1	-2.01555414	-1.36929778	-1.63393934
MDFI	-6.13867718	-1.57417491	-2.57146112
MDFIC	-2.04035396	-0.00670115	-0.8106082
MDGA1	-1.72297379	-0.92924178	-1.34278282
MDH1	-1.33996974	-0.09526072	-0.64156376
MDH1B	-6.17237627	-2.28103058	-3.58905694
MDH2	-5.44846409	-0.84250497	-1.60370919
MDK	-4.50147462	-0.00390634	-0.87556293
MDM1	-5.98966048	-1.8446088	-2.65186334
MDM2	-1.39078519	-0.28723015	-0.86706415
MDM4	-1.14714878	-0.08062337	-0.52813279
MDN1	-1.58866652	-1.26699523	-1.44169222
MDP1	-6.06879094	-1.47902972	-2.12558295
MDS2	-5.66280198	-0.05277558	-0.99622881
ME1	-6.12746346	-2.7169856	-3.97870506
ME2	-6.13690467	-2.1818852	-3.58272925
ME3	-6.07699669	-2.0178107	-2.8544926
MEA1	-6.0819738	-1.43674215	-2.17947943
MEAF6	-1.75004489	-0.34259531	-1.08280081
MECOM	-1.39763933	-0.43598428	-0.96883577
MECR	-5.88327952	-1.55496793	-2.12948701
MED1	-1.11995598	-0.20897265	-0.6632681
MED10	-6.04926714	-0.9099752	-1.69699648
MED11	-6.15815063	-1.94723408	-4.27176145
MED12L	-1.44962723	-0.97571391	-1.21777373
MED13	-0.7534763	-0.03968695	-0.30779213
MED13L	-1.14557933	-0.41260691	-0.78474877
MED15	-1.28586116	-0.38065684	-0.88524904
MED16	-6.14195436	-2.21723305	-3.62883334
MED17	-5.25521851	-1.42048275	-1.96982302
MED18	-5.99260469	-1.20835566	-1.84074821
MED19	-5.50237143	-0.01985776	-0.9748558
MED20	-3.86794994	-0.00709992	-0.86437635
MED21	-6.0469847	-1.43715955	-2.03128506
MED22	-6.08081307	-1.88064791	-2.93202174
MED23	-1.90549813	-1.30733401	-1.58033599
MED24	-5.98355929	-1.91794739	-2.71520949
MED25	-5.34665887	-1.35749929	-2.05708556
MED26	-6.03879489	-2.06042229	-3.14891919
MED27	-6.13038004	-2.00147649	-3.24106918
MED28	-6.03655046	-1.31560029	-1.98149982
MED29	-5.4398069	-0.27740236	-1.30214353
MED30	-3.47613674	-0.15603729	-1.22242254
MED31	-3.77040126	-0.16563598	-1.23048536
MED4	-6.08004473	-1.79357508	-2.56895079
MED6	-5.89030376	-1.32902257	-1.91884341
