Gene	log10_ci_low	log10_ci_high	log10_map
LOR	-6.08963974	-0.78448357	-1.73368296
LOX	-1.22367081	-0.08889832	-0.56869911
LOXHD1	-5.91059948	-2.04272967	-2.86193525
LOXL1	-1.70863904	-0.34126848	-1.06392028
LOXL2	-5.31018099	-1.44822358	-1.99601896
LOXL3	-3.7547429	-1.26703386	-1.871461
LOXL4	-6.08845087	-2.1881676	-3.73313609
LPA	-6.05384536	-2.8183433	-3.89323806
LPAR1	-1.6025353	-0.07586891	-0.72575032
LPAR2	-5.51591296	-0.87616849	-1.61813782
LPAR3	-3.82235001	-0.00290889	-0.84187885
LPAR5	-2.25357772	-0.00412633	-0.79834888
LPAR6	-6.05682118	-1.51506487	-2.14217879
LPCAT1	-1.86291597	-0.89141727	-1.3727204
LPCAT2	-4.37653435	-1.2465293	-1.81622806
LPCAT3	-1.38345794	-0.28926136	-0.84577988
LPCAT4	-1.41636533	-0.44675854	-0.99575965
LPGAT1	-1.54156985	-0.33081502	-0.95666414
LPHN1	-0.99871583	-0.16769469	-0.53793286
LPHN2	-0.98474897	-0.16324918	-0.53482055
LPHN3	-1.22566887	-0.3535755	-0.79729456
LPIN1	-2.14229099	-1.39441077	-1.67129198
LPIN2	-2.10424078	-1.36728525	-1.64166487
LPIN3	-6.00174966	-2.02018303	-3.19036438
LPL	-6.27835476	-3.53547314	-5.38733621
LPO	-6.05646041	-1.98368372	-2.95893181
LPP	-5.35902837	-1.3320973	-1.90823051
LPPR1	-1.66024511	-0.34307012	-0.99295832
LPPR3	-2.24423326	-0.22732168	-1.17551119
LPPR4	-1.31083274	-0.26392275	-0.80754699
LPPR5	-1.74208164	-0.56111477	-1.16058497
LPXN	-5.49838171	-1.12470105	-1.7585141
LRAT	-6.09699903	-1.07650422	-1.99552934
LRBA	-4.04290165	-1.67239597	-2.44070603
LRCH1	-1.37581618	-0.42892306	-0.9569742
LRCH3	-6.08223283	-2.12284116	-3.35660789
LRCH4	-2.04528606	-1.14344372	-1.52979511
LRFN1	-1.73868101	-0.34494594	-1.09207933
LRFN2	-2.20925913	-0.50487554	-1.32155934
LRFN3	-1.8371173	-0.04267157	-0.77055557
LRFN4	-1.49541751	-0.08938043	-0.72325867
LRFN5	-1.81771975	-0.56245233	-1.23545715
LRG1	-6.19274059	-0.33069545	-1.32400946
LRGUK	-6.13437987	-2.23564183	-3.33208304
LRIF1	-5.19990296	-1.23557528	-1.82861851
LRIG1	-2.02042768	-1.24671537	-1.56232871
LRIG2	-5.89506608	-1.854458	-2.57686158
LRIG3	-2.29971773	-1.43341629	-1.74274291
LRIT1	-6.10812705	-2.0958499	-3.24642938
LRIT2	-6.19245716	-2.28175849	-3.79083199
LRIT3	-6.12121667	-1.91268606	-3.03320551
LRMP	-2.17886338	-1.15886456	-1.57633243
LRP1	-0.73711602	-0.25921632	-0.40083393
LRP10	-4.98800333	-1.26722241	-1.84289438
LRP11	-2.16044965	-0.77292635	-1.40141653
LRP12	-1.26178518	-0.24962258	-0.75174298
LRP1B	-1.50453001	-1.17811542	-1.34470201
LRP2	-1.52893878	-1.23620832	-1.38932222
LRP2BP	-6.16002326	-2.30082541	-3.79235323
LRP3	-5.67827674	-1.34466704	-2.03400516
LRP4	-2.03856413	-1.5052325	-1.71071276
LRP5	-1.64537603	-1.01486437	-1.35519886
LRP5L	-6.22356973	-2.37614247	-3.85354503
LRP6	-1.26996783	-0.66945759	-0.98876835
LRP8	-1.35914757	-0.41861771	-0.92991823
LRPAP1	-5.95642561	-1.41162087	-1.9915816
LRPPRC	-1.87868559	-1.3171726	-1.57086982
LRR1	-6.0954898	-2.10710209	-3.17696546
LRRC1	-1.50596109	-0.48824636	-1.03102755
LRRC10	-5.37448004	-0.00673647	-0.93250237
LRRC14	-5.1848581	-0.80260487	-1.56946145
LRRC14B	-6.08260972	-1.9905971	-3.72633425
LRRC15	-6.15373436	-2.0689855	-3.1053794
LRRC16A	-1.74312929	-1.19393102	-1.46809543
LRRC16B	-2.16129084	-1.52666571	-1.7527654
LRRC17	-5.84390018	-1.34863795	-1.92585533
LRRC18	-6.17763456	-1.30264553	-2.09096657
LRRC19	-6.09197997	-1.6767734	-2.59742677
LRRC2	-6.19736274	-2.26319131	-3.7042415
LRRC20	-6.11406317	-1.61330086	-2.39172016
LRRC23	-6.03117228	-1.70598641	-2.45590667
LRRC24	-5.49412489	-0.81939664	-1.58680543
LRRC25	-1.46744874	-0.09175513	-0.75474
LRRC26	-5.74755083	-0.08933267	-1.05236072
LRRC27	-6.07758368	-2.08113767	-3.4840721
LRRC28	-6.14878192	-2.13213997	-3.28585627
LRRC29	-6.16911136	-2.4417643	-4.90043651
LRRC3	-6.19318175	-2.24230196	-4.80359934
LRRC30	-6.07034416	-1.38392262	-1.98936494
LRRC31	-6.15959791	-2.24892312	-3.71318143
LRRC32	-5.81652965	-1.26396518	-1.8539902
LRRC34	-5.68503464	-1.31531763	-1.89533388
LRRC36	-6.04700584	-1.99391989	-2.75546932
LRRC37A	-3.56810694	-0.14144878	-1.22309592
LRRC37A2	-6.1884513	-2.29622309	-3.78546165
LRRC37A3	-6.1588426	-2.24534885	-3.62850768
LRRC37B	-2.28279415	-1.28924246	-1.65510326
LRRC39	-6.22394999	-2.29856211	-3.58059115
LRRC3B	-5.35593967	-0.01218267	-0.93080064
LRRC4	-1.23519615	-0.09120456	-0.58484981
LRRC40	-6.10709512	-2.10178816	-3.4327442
LRRC41	-1.0026693	-0.06488515	-0.41704176
LRRC42	-6.16236316	-2.24193583	-3.47288417
LRRC43	-6.02510318	-2.06339841	-3.00123125
LRRC45	-6.15168563	-2.19603028	-3.62650019
LRRC46	-6.05732078	-1.688691	-2.35021724
LRRC47	-5.69836644	-0.92931274	-1.66853719
LRRC48	-6.10237071	-2.12122612	-3.28327564
LRRC49	-5.77297473	-1.62101237	-2.20411557
LRRC4B	-3.57643488	-0.42106777	-1.38790107
LRRC4C	-1.30292609	-0.09080783	-0.64290815
LRRC52	-6.18380417	-2.19827963	-3.62545317
LRRC53	-1.2641338	-0.08681326	-0.58702199
LRRC55	-5.9388087	-1.37138121	-1.96325495
LRRC56	-6.1981577	-2.2690469	-3.55955353
LRRC57	-6.04688227	-1.54376281	-2.1734938
LRRC58	-5.84789063	-1.29108993	-1.88036619
LRRC59	-1.45016617	-0.10027855	-0.6702841
LRRC6	-5.99643296	-1.80234199	-2.44924841
LRRC61	-6.13083707	-2.10747929	-3.60923127
LRRC63	-1.27231024	-0.09290504	-0.63470688
LRRC66	-6.20545057	-2.35169687	-3.77482467
LRRC69	-2.92062561	-0.00330906	-0.85833697
LRRC7	-1.67485996	-1.09711395	-1.39594809
LRRC71	-6.09445904	-2.37752323	-3.23399177
LRRC73	-5.98212581	-1.19357275	-1.83795665
LRRC8A	-1.78663766	-0.57029396	-1.1997486
LRRC8B	-1.18025476	-0.08189921	-0.53875674
LRRC8C	-5.36019291	-1.41249109	-1.97925754
LRRC8D	-1.60401968	-0.52044876	-1.12778984
LRRC8E	-5.31586587	-1.20933914	-1.809327
LRRCC1	-5.79420019	-1.74259493	-2.30311242
LRRD1	-6.08236711	-2.11540887	-3.43412256
LRRFIP1	-3.07348283	-0.39828536	-1.36084445
LRRFIP2	-5.96975826	-1.96549563	-3.24570774
LRRIQ1	-5.76521793	-1.89525633	-2.85070532
LRRIQ3	-6.15015569	-2.21656759	-3.47672905
LRRIQ4	-5.85739686	-1.3659159	-1.93417831
LRRK1	-1.74378814	-1.22076977	-1.47956198
LRRK2	-2.42694582	-1.62666296	-1.92046957
LRRN1	-1.57056956	-0.33357527	-0.94848544
LRRN2	-1.79917419	-0.56717826	-1.21459324
LRRN3	-1.48773561	-0.31698539	-0.89699766
LRRN4	-6.06664806	-1.84202546	-2.48599915
LRRN4CL	-5.75231343	-0.07425217	-0.99374035
LRRTM1	-1.43785043	-0.09413433	-0.68354505
LRRTM2	-1.50108376	-0.32668439	-0.89853245
LRRTM3	-1.22516704	-0.08437461	-0.57792103
LRRTM4	-1.72504066	-0.55075086	-1.15221636
LRSAM1	-4.97598822	-1.36492094	-2.0445483
LRTM1	-6.18666308	-2.24815559	-3.82257519
LRTM2	-1.63152115	-0.07584557	-0.73003334
LRTOMT	-6.02703545	-1.70346869	-2.42077982
LRWD1	-6.12145704	-2.19172549	-3.37849015
LSAMP	-1.28802196	-0.0914589	-0.62771883
LSG1	-6.11437067	-2.11878932	-3.20337322
LSM1	-1.86203087	-0.03198161	-0.78958265
LSM10	-6.18706918	-1.4036115	-2.43971491
LSM11	-1.91234457	-0.31142611	-1.12844656
LSM12	-1.49874425	-0.0921094	-0.70767112
LSM14A	-1.15427508	-0.07889811	-0.57940429
LSM14B	-1.15586347	-0.0834074	-0.51798739
LSM2	-6.18309131	-1.98448057	-3.35949729
LSM3	-6.21450422	-2.30664838	-3.74349467
LSM4	-6.02004326	-1.40907176	-2.0058819
LSM5	-6.1029796	-1.15392297	-1.97671559
LSM6	-1.60271064	-0.08077719	-0.74484662
LSM7	-4.28900923	-0.00909974	-0.90473354
LSMEM1	-6.19948258	-2.07184773	-3.31573769
LSMEM2	-6.10615088	-2.04777308	-2.9406752
LSR	-6.07871369	-2.25813794	-3.67327526
LSS	-2.14463138	-1.28297631	-1.62193982
LST1	-6.16693716	-1.7894671	-5.17623417
LST3	-6.03443979	-2.02278847	-3.32067566
LTA	-5.26412687	-0.01233073	-0.9164146
LTA4H	-5.10786979	-1.39524536	-1.94833653
LTB	-6.18550989	-2.06755627	-3.61231936
LTB4R	-5.41110492	-0.00637617	-0.94140913
LTBP1	-1.73384931	-1.22727504	-1.4790068
LTBP2	-1.89095022	-1.33995228	-1.58816373
LTBP3	-1.80988654	-1.14341454	-1.47994122
LTBP4	-1.49172767	-0.87933007	-1.2076888
LTBR	-1.30677679	-0.09198812	-0.62095423
LTF	-6.00942512	-1.99931794	-3.21474032
LTK	-6.03226002	-2.39780871	-3.18055309
LTN1	-1.69005996	-1.15713606	-1.43152581
LTV1	-6.05612307	-2.20181225	-3.5360724
LUC7L	-1.7358666	-0.735768	-1.25662379
LUC7L2	-6.14295004	-2.23520967	-3.66289636
LUC7L3	-0.94174315	-0.05719867	-0.40641146
LUM	-5.74317569	-0.42451338	-1.39005972
LURAP1	-5.95041435	-1.186272	-1.82252096
LURAP1L	-6.16047048	-1.57944266	-2.50302554
LUZP1	-1.52564633	-0.63792547	-1.11762166
LUZP2	-6.18537039	-2.21930328	-3.25983488
LXN	-6.16832007	-2.02488574	-3.36555007
LY6E	-6.03970421	-0.60250041	-1.53270088
LY6G5B	-6.16925453	-1.84356159	-3.49925285
LY6G5C	-4.83004866	-0.00271553	-0.89105501
LY6G6C	-6.20938677	-2.27465692	-4.21471539
LY6G6D	-6.15914768	-1.78300707	-2.65593465
LY6G6E	-6.05746672	-0.20791206	-1.12070296
LY6G6F	-6.11808096	-2.10553304	-3.69186633
LY6H	-2.03047084	-0.00858248	-0.77240697
LY6K	-5.34587187	-0.00217654	-0.92261441
LY75	-5.5372709	-2.04078211	-3.11753168
LY75-CD302	-5.5380644	-2.03111454	-2.96407516
LY86	-6.1354774	-1.67836902	-3.24940098
LY9	-6.09567079	-2.01006931	-3.13632566
LY96	-5.97753138	-1.2219957	-1.86013494
LYAR	-6.14976071	-2.16176537	-3.28647133
LYG1	-6.12380667	-2.18700391	-3.18030163
LYG2	-6.12756571	-2.03957293	-3.41436579
LYL1	-5.40063777	-0.01087093	-0.96099467
LYN	-1.14178739	-0.08288726	-0.55050722
LYNX1	-6.1593082	-1.73536432	-2.58062645
LYPD1	-6.11194789	-1.58612006	-2.69959836
LYPD2	-5.85674975	-0.13006361	-1.04463051
LYPD3	-6.16485968	-2.0571232	-3.83809298
LYPD4	-6.14880516	-1.88379957	-3.22053263
LYPD5	-5.45282967	-0.33373024	-1.34098834
LYPD6	-6.16327793	-2.20284872	-3.77581287
LYPD6B	-6.05064971	-1.56909777	-2.37110757
LYPLA1	-5.91870183	-1.36617622	-1.92355301
LYPLA2	-1.39234223	-0.09680626	-0.68717708
LYPLAL1	-6.16066779	-1.75016337	-2.50675256
LYRM1	-6.20389257	-2.21685961	-4.33425164
LYRM2	-6.15357394	-1.22443914	-2.06963458
LYRM4	-6.13395976	-1.00668701	-2.12343799
LYRM5	-6.14550426	-1.98894037	-4.78137106
LYRM7	-5.59321875	-0.0308874	-0.9765123
LYRM9	-5.37471542	-0.01132502	-0.95090737
LYSMD1	-6.09191881	-1.58874239	-2.2880592
LYSMD2	-5.45917826	-0.00887606	-0.93520003
LYSMD3	-1.8003727	-0.33856274	-1.11609643
LYSMD4	-5.54404673	-0.36396742	-1.35782836
LYST	-1.40397114	-1.01198702	-1.21296457
LYVE1	-6.20386632	-2.33963999	-3.50350816
LYZ	-6.18494954	-2.19553265	-3.67215239
LYZL1	-6.07379162	-0.92196554	-1.72110354
LYZL2	-6.24382213	-2.37079927	-4.15485503
LYZL4	-5.45198902	-0.00795954	-0.90698704
LYZL6	-6.23764128	-2.30768425	-4.21822543
LZIC	-6.00508587	-1.24927705	-1.90805946
LZTFL1	-1.76128195	-0.56580462	-1.19816528
LZTR1	-5.99153839	-2.11975641	-3.07953279
LZTS1	-1.75230354	-0.33901547	-1.06979429
LZTS2	-1.58901877	-0.67738792	-1.16528698
LZTS3	-1.28637701	-0.09528203	-0.58243112
M1AP	-6.13831806	-2.21330745	-3.66335973
M6PR	-6.16242616	-2.28689509	-3.43304874
MAATS1	-6.15440852	-2.19190629	-3.56846797
MAB21L1	-3.12527235	-0.14628931	-1.19537992
MAB21L2	-1.75030394	-0.3363174	-1.07641404
MAB21L3	-6.12492829	-2.09397786	-3.70871819
MACC1	-6.14431477	-2.18987951	-3.45466424
MACF1	-0.97580358	-0.54178823	-0.76237541
MACROD1	-3.97279364	-0.41507513	-1.39314207
MACROD2	-2.18755061	-0.91230026	-1.46723629
MAD1L1	-6.12253215	-2.21201319	-3.36501156
MAD2L1	-1.63404731	-0.07584051	-0.73218732
MAD2L1BP	-5.9822844	-1.70388139	-2.28907973
MAD2L2	-6.12721202	-1.79003004	-2.79489233
MADCAM1	-6.262273	-2.48532788	-4.55830912
MADD	-6.05334841	-3.0387594	-4.18619103
MAEA	-1.26542108	-0.09249017	-0.54068328
MAEL	-2.27578976	-1.15518607	-1.60520982
MAF	-3.1945775	-0.00765325	-0.86447494
MAF1	-1.4677647	-0.09528557	-0.70049107
MAFA	-6.17792886	-1.99464174	-4.17205894
MAFB	-4.16401781	-0.00667848	-0.86681765
MAFF	-5.43106557	-0.00589919	-0.95074981
MAFG	-5.71895508	-0.07014409	-1.00601194
MAFK	-5.78706846	-0.0882105	-1.07779443
MAG	-3.04262808	-1.16365978	-1.69905866
MAGEF1	-6.14418921	-1.30891606	-2.0507901
MAGEL2	-1.23724185	-0.087218	-0.54913516
MAGI1	-1.36368757	-0.68966605	-1.05847501
MAGI2	-1.65117039	-1.02211147	-1.35481864
MAGI3	-1.71976897	-1.09633818	-1.39853127
MAGOH	-1.55940725	-0.08495306	-0.71302618
MAGOHB	-5.79420685	-0.72706755	-1.55537745
MAK	-6.03658962	-1.94558283	-2.80326247
MAK16	-1.56004022	-0.50596513	-1.06706206
MAL	-5.21300354	-0.00320689	-0.91515634
MAL2	-5.41847708	-0.00601078	-0.95820392
MALL	-5.9256999	-0.16665501	-1.12406585
MALSU1	-6.19268228	-2.22688833	-3.48570121
MALT1	-1.76156696	-0.94624403	-1.3675235
MAMDC2	-3.18937226	-1.17981772	-1.77105675
MAMDC4	-5.92430525	-2.11062594	-3.13042621
MAML1	-1.1091586	-0.07621969	-0.55502363
MAML2	-1.52395201	-0.73809964	-1.13254526
MAML3	-1.47665345	-0.61704014	-1.09013014
MAMSTR	-5.72944472	-0.9384073	-1.65922238
MAN1A1	-1.84476591	-0.88978531	-1.37019987
MAN1A2	-1.06517198	-0.07177837	-0.50108566
MAN1B1	-5.84122383	-1.5411028	-2.25957023
