gene,flag
AL353698.1,AN_too_low
AL354898.1,AN_too_low
AL354993.1,AN_too_low
AL355390.1,AN_too_low
AL359195.1,AN_too_low
AL360004.1,AN_too_low
AL365202.1,AN_too_low
AL390778.1,AN_too_low
AL450307.1,AN_too_low
AL590822.1,AN_too_low
AL592284.1,AN_too_low
AL627309.1,AN_too_low
AL645730.2,AN_too_low
AMELY,AN_too_low
ANHX,AN_too_low
ANKRD63,AN_too_low
ANTXRL,AN_too_low
AP000322.53,AN_too_low
AP000679.2,AN_too_low
AP000708.1,AN_too_low
AP000769.1,AN_too_low
AP000783.1,AN_too_low
AP000974.1,AN_too_low
AP001024.2,AN_too_low
AP001631.10,AN_too_low
AP001652.1,AN_too_low
AP001885.1,AN_too_low
AP002348.1,AN_too_low
AP003062.1,AN_too_low
AP003774.4,AN_too_low
AP005482.1,AN_too_low
ARL14EPL,AN_too_low
ARL17B,AN_too_low
ARMCX4,AN_too_low
ASCL2,AN_too_low
BHLHA9,AN_too_low
BLACE,AN_too_low
BX088651.1,AN_too_low
C10orf115,AN_too_low
C10orf126,AN_too_low
C10orf40,AN_too_low
C10orf85,AN_too_low
C11orf44,AN_too_low
C11orf86,AN_too_low
C11orf91,AN_too_low
C11orf96,AN_too_low
C14orf132,AN_too_low
C14orf144,AN_too_low
C14orf64,AN_too_low
C16orf95,AN_too_low
C16orf97,AN_too_low
C17orf112,AN_too_low
C17orf96,AN_too_low
C18orf63,AN_too_low
C18orf64,AN_too_low
C1QTNF1-AS1,AN_too_low
C1orf137,AN_too_low
C1orf143,AN_too_low
C1orf180,AN_too_low
C1orf195,AN_too_low
C1orf229,AN_too_low
C1orf233,AN_too_low
C20orf187,AN_too_low
C20orf62,AN_too_low
C21orf119,AN_too_low
C21orf140,AN_too_low
C21orf37,AN_too_low
C21orf54,AN_too_low
C22orf34,AN_too_low
C2CD4C,AN_too_low
C2CD4D,AN_too_low
C2orf91,AN_too_low
C3orf80,AN_too_low
C3orf83,AN_too_low
C5orf27,AN_too_low
C6ORF50,AN_too_low
C6orf100,AN_too_low
C6orf164,AN_too_low
C6orf229,AN_too_low
C6orf99,AN_too_low
C7orf76,AN_too_low
C8orf17,AN_too_low
C8orf56,AN_too_low
C8orf87,AN_too_low
C9orf141,AN_too_low
C9orf147,AN_too_low
C9orf62,AN_too_low
C9orf92,AN_too_low
CASP12,AN_too_low
CBY3,AN_too_low
CCDC166,AN_too_low
CCDC177,AN_too_low
CCDC179,AN_too_low
CCDC182,AN_too_low
CCL3L3,AN_too_low
CCL4L1,AN_too_low
CLEC19A,AN_too_low
CT45A6,AN_too_low
CTA-299D3.8,AN_too_low
CTB-167G5.5,AN_too_low
CTB-78H18.1,AN_too_low
CTC-236F12.4,AN_too_low
CTD-2014B16.3,AN_too_low
CTD-2021H9.3,AN_too_low
CTD-2117L12.1,AN_too_low
CTD-2144E22.5,AN_too_low
CTD-2203A3.1,AN_too_low
CTD-2210P24.4,AN_too_low
CTD-2260A17.2,AN_too_low
CTD-2547L24.3,AN_too_low
CTD-2600O9.1,AN_too_low
CTD-3088G3.8,AN_too_low
CTD-3203P2.2,AN_too_low
CXorf24,AN_too_low
CXorf28,AN_too_low
CXorf31,AN_too_low
CYP4F31P,AN_too_low
DAZ2,AN_too_low
DDC8,AN_too_low
DDX3Y,AN_too_low
DEFB104B,AN_too_low
DEFB107A,AN_too_low
DEFB107B,AN_too_low
DEFB130,AN_too_low
DHRS4-AS1,AN_too_low
DIRC3,AN_too_low
DKFZP434O1614,AN_too_low
DKFZP667F0711,AN_too_low
DLEU1,AN_too_low
DUX4L4,AN_too_low
EFCAB9,AN_too_low
EIF1AY,AN_too_low
ERICH2,AN_too_low
ERVMER34-1,AN_too_low
ERVV-1,AN_too_low
ERVV-2,AN_too_low
FAM106A,AN_too_low
FAM188B2,AN_too_low
FAM195B,AN_too_low
FAM200B,AN_too_low
FAM215A,AN_too_low
FAM231B,AN_too_low
FAM231D,AN_too_low
FAM27B,AN_too_low
FAM27E1,AN_too_low
FAM27E2,AN_too_low
FAM90A26,AN_too_low
FKSG52,AN_too_low
FREM3,AN_too_low
FSBP,AN_too_low
FTCDNL1,AN_too_low
GAGE12H,AN_too_low
GAGE2A,AN_too_low
GAGE2D,AN_too_low
GCNT6,AN_too_low
GJE1,AN_too_low
GOLGA6L1,AN_too_low
GOLGA6L18,AN_too_low
GOLGA6L19,AN_too_low
GRAPL,AN_too_low
HEATR5A,AN_too_low
HMCN2,AN_too_low
IGSF23,AN_too_low
IRG1,AN_too_low
IZUMO3,AN_too_low
KB-1507C5.2,AN_too_low
KB-1980E6.3,AN_too_low
KDM5D,AN_too_low
KIAA0087,AN_too_low
KIAA1024L,AN_too_low
KLRF2,AN_too_low
KRTAP16-1,AN_too_low
KRTAP29-1,AN_too_low
LACTBL1,AN_too_low
LEKR1,AN_too_low
LINC00346,AN_too_low
LINC00632,AN_too_low
LINC00692,AN_too_low
LINC00923,AN_too_low
LINC00955,AN_too_low
LINC00998,AN_too_low
LINC01100,AN_too_low
LINC01101,AN_too_low
LINC01118,AN_too_low
LINC01119,AN_too_low
LL22NC03-75H12.2,AN_too_low
LRRC10B,AN_too_low
LRRC38,AN_too_low
LRRC3C,AN_too_low
LRRC70,AN_too_low
LRRC72,AN_too_low
LRRC9,AN_too_low
MALRD1,AN_too_low
MARVELD1,AN_too_low
MBD3L4,AN_too_low
MBD3L5,AN_too_low
MS4A18,AN_too_low
MTRNR2L1,AN_too_low
MTRNR2L10,AN_too_low
MTRNR2L12,AN_too_low
MTRNR2L13,AN_too_low
MTRNR2L4,AN_too_low
MTRNR2L5,AN_too_low
MTRNR2L7,AN_too_low
MTRNR2L9,AN_too_low
MUC19,AN_too_low
MUC22,AN_too_low
MYO15B,AN_too_low
MYRFL,AN_too_low
NAP1L6,AN_too_low
NBPF16,AN_too_low
NCR3LG1,AN_too_low
NLGN4Y,AN_too_low
NUPR1L,AN_too_low
OOSP1,AN_too_low
OR10D3,AN_too_low
OR51H1P,AN_too_low
OR51J1,AN_too_low
OR52B1P,AN_too_low
PABPC1L2A,AN_too_low
PABPC1L2B,AN_too_low
PATE4,AN_too_low
PCDH11Y,AN_too_low
PGA4,AN_too_low
PINLYP,AN_too_low
PLGLB1,AN_too_low
PLGLB2,AN_too_low
PLK5,AN_too_low
PNRC2,AN_too_low
PP13004,AN_too_low
PP13439,AN_too_low
PPP1R3G,AN_too_low
PRAMEF15,AN_too_low
PRAMEF3,AN_too_low
PRR23D1,AN_too_low
PRR26,AN_too_low
PRR9,AN_too_low
RAB44,AN_too_low
RBMY1A1,AN_too_low
RBMY1E,AN_too_low
RBMY1F,AN_too_low
RBMY1J,AN_too_low
RD3L,AN_too_low
RGPD6,AN_too_low
RNF223,AN_too_low
RP1-139D8.6,AN_too_low
RP1-228P16.5,AN_too_low
RP1-32I10.10,AN_too_low
RP11-1026M7.2,AN_too_low
RP11-1055B8.6,AN_too_low
RP11-105C20.2,AN_too_low
RP11-1070N10.3,AN_too_low
RP11-1085N6.3,AN_too_low
RP11-10A14.4,AN_too_low
RP11-10J21.3,AN_too_low
RP11-1102P16.1,AN_too_low
RP11-111M22.2,AN_too_low
RP11-116D17.1,AN_too_low
RP11-156E8.1,AN_too_low
RP11-160N1.10,AN_too_low
RP11-167N24.6,AN_too_low
RP11-171N4.2,AN_too_low
RP11-17M16.1,AN_too_low
RP11-180C1.1,AN_too_low
RP11-181C3.1,AN_too_low
RP11-187E13.1,AN_too_low
RP11-187E13.2,AN_too_low
RP11-1C1.5,AN_too_low
RP11-204N11.1,AN_too_low
RP11-210M15.2,AN_too_low
RP11-272B17.2,AN_too_low
RP11-276H1.3,AN_too_low
RP11-293M10.1,AN_too_low
RP11-295D22.1,AN_too_low
RP11-297M9.1,AN_too_low
RP11-315O6.2,AN_too_low
RP11-321F6.1,AN_too_low
RP11-322L20.1,AN_too_low
RP11-324D17.1,AN_too_low
RP11-347C12.1,AN_too_low
RP11-347C12.3,AN_too_low
RP11-352D3.2,AN_too_low
RP11-362K2.2,AN_too_low
RP11-366L20.2,AN_too_low
RP11-386G21.1,AN_too_low
RP11-386G21.2,AN_too_low
RP11-404L6.2,AN_too_low
RP11-410N8.4,AN_too_low
RP11-429E11.3,AN_too_low
RP11-433C9.2,AN_too_low
RP11-451M19.3,AN_too_low
RP11-45H22.3,AN_too_low
RP11-463J10.2,AN_too_low
RP11-47I22.3,AN_too_low
RP11-480I12.4,AN_too_low
RP11-481A20.11,AN_too_low
RP11-487E13.1,AN_too_low
RP11-497E19.2,AN_too_low
RP11-503N18.3,AN_too_low
RP11-520P18.5,AN_too_low
RP11-521M14.2,AN_too_low
RP11-536G4.1,AN_too_low
RP11-542P2.1,AN_too_low
RP11-552I14.1,AN_too_low
RP11-553A10.1,AN_too_low
RP11-597K23.2,AN_too_low
RP11-62N21.1,AN_too_low
RP11-650K20.3,AN_too_low
RP11-65D24.2,AN_too_low
RP11-661C8.3,AN_too_low
RP11-664D7.4,AN_too_low
RP11-67H2.1,AN_too_low
RP11-680G10.1,AN_too_low
RP11-6L6.2,AN_too_low
RP11-701P16.2,AN_too_low
RP11-738G5.2,AN_too_low
RP11-758M4.1,AN_too_low
RP11-763F8.1,AN_too_low
RP11-766F14.2,AN_too_low
RP11-794P6.2,AN_too_low
RP11-796G6.2,AN_too_low
RP11-817J15.3,AN_too_low
RP11-826N14.2,AN_too_low
RP11-830F9.6,AN_too_low
RP11-89N17.1,AN_too_low
RP11-93B14.6,AN_too_low
RP11-944C7.1,AN_too_low
RPA3-AS1,AN_too_low
RPS17,AN_too_low
RPS4Y1,AN_too_low
RPS4Y2,AN_too_low
SDIM1,AN_too_low
SDR42E2,AN_too_low
SERF1B,AN_too_low
SHISA8,AN_too_low
SLC15A5,AN_too_low
SLC9B1P1,AN_too_low
SMIM17,AN_too_low
SMIM2,AN_too_low
SMIM23,AN_too_low
SMKR1,AN_too_low
SMLR1,AN_too_low
SPACA5B,AN_too_low
SPDYE2B,AN_too_low
SPG20OS,AN_too_low
SRSF10,AN_too_low
SRY,AN_too_low
STMND1,AN_too_low
TBC1D30,AN_too_low
TBC1D3C,AN_too_low
TBL1Y,AN_too_low
TCF24,AN_too_low
TDRD15,AN_too_low
TGIF2LY,AN_too_low
THEGL,AN_too_low
TMEM178B,AN_too_low
TMEM221,AN_too_low
TMEM235,AN_too_low
TMEM30C,AN_too_low
TMEM75,AN_too_low
TMEM78,AN_too_low
TMEM88B,AN_too_low
TMPRSS11BNL,AN_too_low
TMSB4Y,AN_too_low
TPBGL,AN_too_low
TPRXL,AN_too_low
TRIM49D1,AN_too_low
TRIQK,AN_too_low
TSPY1,AN_too_low
TSPY10,AN_too_low
TSPY2,AN_too_low
TSPY8,AN_too_low
TSRM,AN_too_low
TTC34,AN_too_low
TXNRD3,AN_too_low
U82695.9,AN_too_low
UBE2Q2L,AN_too_low
USP17L10,AN_too_low
USP17L13,AN_too_low
USP17L17,AN_too_low
USP17L18,AN_too_low
USP17L5,AN_too_low
USP9Y,AN_too_low
UTY,AN_too_low
ZBED6,AN_too_low
ZFY,AN_too_low
hsa-mir-1199,AN_too_low
AC003102.1,mu_NA
AC004899.1,mu_NA
AC010327.2,mu_NA
AC010536.1,mu_NA
AC011484.1,mu_NA
AC012215.1,mu_NA
AC013449.1,mu_NA
AC015989.2,mu_NA
AC016586.1,mu_NA
AC016745.1,mu_NA
AC020922.1,mu_NA
AC022498.1,mu_NA
AC023632.1,mu_NA
AC026310.1,mu_NA
AC026703.1,mu_NA
AC037199.1,mu_NA
AC061992.1,mu_NA
AC073342.1,mu_NA
AC079210.1,mu_NA
AC079341.1,mu_NA
AC079354.2,mu_NA
AC090186.1,mu_NA
AC092811.1,mu_NA
AC103801.2,mu_NA
AC105020.1,mu_NA
AC107021.1,mu_NA
AC114546.1,mu_NA
AC115618.1,mu_NA
AC127496.1,mu_NA
AC129492.6,mu_NA
AC132186.1,mu_NA
AC139426.2,mu_NA
AC142381.1,mu_NA
ADAM20,mu_NA
ADAM29,mu_NA
ADAM30,mu_NA
ADAMTSL4-AS1,mu_NA
AGAP4,mu_NA
AGAP8,mu_NA
AL020996.1,mu_NA
AL031320.1,mu_NA
AL049840.1,mu_NA
AL079342.1,mu_NA
AL109927.1,mu_NA
AL133373.1,mu_NA
AL136115.1,mu_NA
AL138764.1,mu_NA
AL139099.1,mu_NA
AL139147.1,mu_NA
AL162424.1,mu_NA
AL353354.2,mu_NA
AL357673.1,mu_NA
AL358113.1,mu_NA
AL359878.1,mu_NA
AL391152.1,mu_NA
AL445989.1,mu_NA
AL583828.1,mu_NA
AL590822.2,mu_NA
AL603965.1,mu_NA
AL627171.2,mu_NA
AL645728.1,mu_NA
AL807752.1,mu_NA
ANP32D,mu_NA
ANXA2R,mu_NA
AP000695.1,mu_NA
AP000867.1,mu_NA
AP001350.1,mu_NA
AP001816.1,mu_NA
AP003733.1,mu_NA
AP006621.5,mu_NA
ARHGEF35,mu_NA
ARIH2OS,mu_NA
ATXN3L,mu_NA
BIRC8,mu_NA
BLID,mu_NA
BX255923.1,mu_NA
C10orf111,mu_NA
C11orf72,mu_NA
C11orf89,mu_NA
C12orf61,mu_NA
C15orf37,mu_NA
C16orf3,mu_NA
C17orf77,mu_NA
C17orf82,mu_NA
C19orf48,mu_NA
C22orf29,mu_NA
C3orf27,mu_NA
C3orf36,mu_NA
C3orf56,mu_NA
C5orf20,mu_NA
C5orf55,mu_NA
C6orf120,mu_NA
C6orf141,mu_NA
C6orf195,mu_NA
C7orf13,mu_NA
C8orf49,mu_NA
C9orf163,mu_NA
C9orf37,mu_NA
C9orf38,mu_NA
C9orf53,mu_NA
CALML5,mu_NA
CCDC140,mu_NA
CDR1,mu_NA
CEMP1,mu_NA
CKS1B,mu_NA
COLCA1,mu_NA
COX7B2,mu_NA
CPXCR1,mu_NA
CRIPAK,mu_NA
CTAGE1,mu_NA
CTAGE15,mu_NA
CTAGE4,mu_NA
CTAGE6,mu_NA
CTAGE9,mu_NA
CTB-58E17.5,mu_NA
CTC-241N9.1,mu_NA
CXorf27,mu_NA
CXorf67,mu_NA
DCAF4L2,mu_NA
DCAF8L1,mu_NA
DIRAS3,mu_NA
DIRC1,mu_NA
EBLN1,mu_NA
EBLN2,mu_NA
EDDM3A,mu_NA
EDDM3B,mu_NA
EID2B,mu_NA
EPB41L4A-AS2,mu_NA
ERV3-1,mu_NA
ERVW-1,mu_NA
F8A1,mu_NA
FAM183B,mu_NA
FAM217B,mu_NA
FAM218A,mu_NA
FAM220A,mu_NA
FAM47A,mu_NA
FAM47B,mu_NA
FAM47C,mu_NA
FAM71A,mu_NA
FCGR2C,mu_NA
FLJ00104,mu_NA
FLJ00418,mu_NA
FLJ20373,mu_NA
FLJ45079,mu_NA
FOXD4L5,mu_NA
FOXD4L6,mu_NA
FP15737,mu_NA
FPR1,mu_NA
FPR3,mu_NA
FSCB,mu_NA
FTHL17,mu_NA
FUT5,mu_NA
FUT6,mu_NA
GABARAPL3,mu_NA
GIMAP7,mu_NA
GPR32,mu_NA
GRIK1-AS2,mu_NA
GVQW1,mu_NA
H1FNT,mu_NA
H2AFB1,mu_NA
H3F3C,mu_NA
HEPN1,mu_NA
HIGD2B,mu_NA
HIST1H1T,mu_NA
HRCT1,mu_NA
HSPB9,mu_NA
HUS1B,mu_NA
IBA57-AS1,mu_NA
IFNA1,mu_NA
IFNA10,mu_NA
IFNA13,mu_NA
IFNA14,mu_NA
IFNA16,mu_NA
IFNA17,mu_NA
IFNA2,mu_NA
IFNA21,mu_NA
IFNA4,mu_NA
IFNA5,mu_NA
IFNA6,mu_NA
IFNA7,mu_NA
IFNA8,mu_NA
IFNB1,mu_NA
IFNW1,mu_NA
IRGM,mu_NA
IVL,mu_NA
KRTAP12-1,mu_NA
KRTAP12-2,mu_NA
KRTAP12-3,mu_NA
KRTAP12-4,mu_NA
KRTAP13-1,mu_NA
KRTAP15-1,mu_NA
KRTAP19-1,mu_NA
KRTAP19-2,mu_NA
KRTAP19-3,mu_NA
KRTAP19-4,mu_NA
KRTAP19-5,mu_NA
KRTAP19-6,mu_NA
KRTAP19-7,mu_NA
KRTAP19-8,mu_NA
KRTAP20-1,mu_NA
KRTAP20-2,mu_NA
KRTAP20-3,mu_NA
KRTAP20-4,mu_NA
KRTAP21-2,mu_NA
KRTAP21-3,mu_NA
KRTAP22-1,mu_NA
KRTAP22-2,mu_NA
KRTAP23-1,mu_NA
KRTAP25-1,mu_NA
KRTAP4-16P,mu_NA
KRTAP4-3,mu_NA
KRTAP9-1,mu_NA
KRTAP9-3,mu_NA
KRTAP9-4,mu_NA
KRTAP9-8,mu_NA
LCE3A,mu_NA
